Time,NR,NREF,NFIX,NCFIX,NFEFC_AVG,NFEFC_MAX,NAUTH,LOC_ADD_AVG,LOC_ADD_MAX,LOC_DEL_AVG,LOC_DEL_MAX,CHURN_AVG,CHURN_MAX,CHURN_MIN,LABEL
2001-12-01,33,1.7340425531914894,31,1,31.0,31,7,253.1290322580645,4408,1188.4516129032259,26422,-935.3225806451613,4386,-26422,False
2002-06-01,243,2.702341137123746,56,47,1.872340425531915,12,12,54.270833333333336,2550,134.04166666666666,3526,-79.77083333333333,425,-3054,True
2002-12-01,582,3.161344537815126,243,113,3.5398230088495577,53,20,71.21837088388214,4776,221.842287694974,10051,-150.62391681109185,4776,-10051,True
2003-06-01,549,2.1814977973568284,262,99,3.595959595959596,31,16,84.86346863468634,6100,274.8542435424354,5928,-189.99077490774908,6083,-5924,True
2003-12-01,1056,3.428017718715393,827,225,7.6,181,26,153.89207258834767,40291,227.02865329512895,48169,-73.13658070678127,40291,-48169,True
2004-06-01,1702,2.800340136054422,512,278,2.7158273381294964,32,30,114.53313609467456,28864,177.55207100591716,51272,-63.0189349112426,28864,-51272,False
2004-12-01,2091,2.3923459863098944,701,333,2.942942942942943,117,37,52.00817700817701,5896,172.66137566137567,100891,-120.65319865319866,5883,-100891,True
2005-06-01,3702,3.250662251655629,1340,607,4.120263591433279,114,42,72.7557603686636,12201,118.207102195717,39468,-45.451341827053405,9460,-38123,True
2005-12-01,4563,2.744374712995561,1460,768,3.1705729166666665,51,52,69.91956043956044,42458,98.50153846153846,9704,-28.58197802197802,42458,-9387,False
2006-06-01,3762,3.2442120985810305,1432,710,3.4957746478873237,137,50,293.6192636072572,32314,338.8425827107791,32353,-45.22331910352188,4869,-6522,True
2006-12-01,3686,2.0467982279500605,2678,688,5.071220930232558,286,42,13953.017161536367,191208,13949.82511577227,93912,3.192045764096976,106387,-92512,True
2007-06-01,4352,1.6478617749761915,6033,776,8.86340206185567,2997,70,9746.698822986384,202213,9775.39072236326,202272,-28.691899376875146,48566,-57531,False
2007-12-01,5216,2.072721179624665,2061,791,3.552465233881163,191,76,135.60423484119346,39476,200.55553416746872,67766,-64.95129932627526,27747,-67588,True
2008-06-01,6164,2.121342947687503,3016,854,4.845433255269321,302,70,130.8855608009116,68656,161.94628031906234,57923,-31.06071951815074,68656,-57923,True
2008-12-01,5125,2.2708606077309996,2605,798,4.4411027568922306,410,78,188.6326930615445,66861,216.96667973343787,29345,-28.333986671893374,66861,-24712,True
2009-06-01,6353,2.2261780601118804,3858,1221,4.620802620802621,464,86,258.6132701421801,355066,368.25039494470775,355066,-109.63712480252765,355066,-355066,False
2009-12-01,5344,2.3461110019002684,3099,1050,4.140952380952381,233,89,98.20345994734863,55836,250.3412937194434,262656,-152.13783377209478,54690,-262656,True
2010-06-01,4602,1.9973053892215569,4229,895,7.44804469273743,943,101,100.97724786698753,65448,217.67971997374755,65448,-116.70247210676001,65448,-65448,False
2010-12-01,7821,2.504128837994434,4033,1243,4.5905068382944485,357,176,328.7791205965544,347133,400.7283363332476,331008,-71.94921573669323,347113,-331004,True
2011-06-01,13761,2.8615444268798282,5494,2112,3.969223484848485,157,226,336.1463574710129,168087,397.86815430613285,160175,-61.72179683511996,168087,-160175,True
2011-12-01,14438,2.725733491698466,7307,2274,4.756376429199648,928,248,654.4851244265258,109002,739.4959683025163,139213,-85.01084387599055,45283,-139190,True
2012-06-01,13849,2.5184169278996866,6234,2351,4.088047639302425,214,279,989.7880084100631,255513,1067.273254549409,265406,-77.48524613934605,255513,-265406,True
2012-12-01,11866,2.3220187890008916,4978,1964,3.7143584521384927,257,304,1258.2808636748518,144700,1366.0467400508044,144716,-107.76587637595259,137914,-137942,True
2013-06-01,12081,2.408959676643249,6306,1947,4.470467385721623,468,291,1795.8582952182953,1028136,1918.991185031185,1690445,-123.13288981288981,1028136,-1690445,True
2013-12-01,13569,2.3793905937111,7036,2208,4.530344202898551,686,283,2010.5243875360818,216639,2112.7673007179337,216627,-102.24291318185182,111803,-111821,True
2014-06-01,13445,2.3949697135877557,8453,2092,5.555927342256214,426,333,4617.155299917831,1385153,4657.716217225667,1385195,-40.56091730783596,1383954,-1383954,True
2014-12-01,13114,2.4048075368878012,7860,2163,4.957466481738327,322,429,5340.132016234015,1513366,5308.087142966537,1513361,32.044873267478366,1513079,-1513074,False
2015-06-01,12202,2.117631332709531,6992,1993,4.769693928750627,333,440,4522.650580581405,412988,4586.0411759861645,413244,-63.39059540475994,398900,-399141,True
2015-12-01,13139,2.316766746341748,5706,1904,4.089285714285714,222,472,2056.3445982108724,332678,2153.7725361266153,332607,-97.42793791574279,323976,-323860,False
2016-06-01,14072,2.502774723836448,6632,2019,4.326894502228826,592,479,1588.0073503175622,1669389,1672.3730107757083,1669525,-84.36566045814601,1668803,-1668554,False
2016-12-01,14271,2.4325823130709674,6662,2166,4.261772853185596,551,420,1502.5408428903118,287365,1571.3120382748189,272083,-68.77119538450714,287365,-173540,False
2017-06-01,14411,2.450873769377508,7801,2070,4.827536231884058,388,395,1475.57430502334,422342,1505.4873545600224,227192,-29.913049536682227,422342,-145361,False
2017-12-01,12886,2.481004540440705,6734,2081,4.802498798654493,277,387,1503.7979104943083,459929,1607.227350693903,564948,-103.42944019959458,448229,-564948,False
2018-06-01,11274,2.4284191071936307,11087,1729,7.587622903412377,4419,325,1989.0353832442067,317003,2085.0919786096256,299415,-96.0565953654189,156137,-156372,True
2018-12-01,9714,2.234592124093994,8628,1721,6.857059848925044,828,361,2256.7929428807947,465521,2317.8575124172185,468932,-61.06456953642384,310284,-310313,True
2019-06-01,10886,1.7629447747049194,18522,2351,9.37515950659294,2679,330,1787.9742334687846,222116,1883.680458071666,222077,-95.70622460288142,176986,-181286,False
2019-12-01,11901,2.330954397000121,15557,2202,9.426430517711172,2774,334,2049.0777862144605,459270,2117.8033409263476,459130,-68.72555471188728,256018,-255999,False
2020-06-01,14071,2.2001917414229952,9815,2667,4.997375328083989,677,331,9496.274750356633,6834439,10152.473537803138,6861926,-656.198787446505,6806461,-6827327,False
2020-12-01,13150,2.7509738928376164,8423,1776,5.911036036036036,723,289,9701.406228532172,6888522,9855.624150828182,6883176,-154.21792229600794,6848053,-6843524,True
2021-06-01,12001,2.00057448063845,7855,1518,6.106060606060606,725,247,7395.209473596117,7466806,7473.886266633191,7466782,-78.67679303707423,7430902,-7430906,True
2021-12-01,10936,2.166809218341649,7340,1547,7.334841628959276,1011,251,915.7991919933891,635544,1007.3489119456432,636747,-91.54971995225415,626888,-622868,False
2022-06-01,10865,2.0218765295482113,5882,1396,5.145415472779369,386,223,1479.9383035796873,650414,1539.9763204143928,650424,-60.038016834705395,623872,-622611,True
